"","SA","cancer","gene"
"473",0.228982433330219,"BLCA","ENSG00000129422.14"
"474",0.165743718617678,"BLCA","ENSG00000178927.17"
"475",0.291263615004479,"BLCA","ENSG00000167880.7"
"476",0,"BLCA","ENSG00000114126.17"
"477",0.176432556462096,"BLCA","ENSG00000167107.12"
"478",4.32413317765122e-05,"BLCA","ENSG00000225190.10"
"479",0,"BLCA","ENSG00000128928.8"
"480",0,"BLCA","ENSG00000005243.9"
"481",0.405673493769169,"BLCA","ENSG00000175198.15"
"482",0.275404760881842,"BLCA","ENSG00000133678.13"
"483",0.00107984626905196,"BLCA","ENSG00000125818.17"
"484",0,"BLCA","ENSG00000088808.16"
"485",0.65477333952919,"BLCA","ENSG00000164022.16"
"486",0,"BLCA","ENSG00000135250.16"
"487",0,"BLCA","ENSG00000197562.9"
"488",0.00034785691286085,"BLCA","ENSG00000143569.18"
