"","TCGA_subtype","immune_cell_type","tau","pvalue"
"230","LUSC","T.cells.regulatory..Tregs.","0.0192961090319177","0.594008314283471"
"231","LUSC","T.cells.gamma.delta","-0.0653756406198752","0.122515567592946"
"232","LUSC","NK.cells.resting","-0.00871317658897124","0.811129115173003"
"233","LUSC","NK.cells.activated","-0.0340908934684346","0.353702070609972"
"234","LUSC","Monocytes","0.0326727506618556","0.360678721871036"
"235","LUSC","Macrophages.M0","-0.00917300409516787","0.793683286287497"
"236","LUSC","Macrophages.M1","0.057476466166505","0.099516970525656"
"237","LUSC","Macrophages.M2","0.0708269244854611","0.0419565061917823"
"238","LUSC","Dendritic.cells.resting","0.0871879531134555","0.0180365533270939"
"239","LUSC","Dendritic.cells.activated","0.0282950983743583","0.436191265647465"
"240","LUSC","Mast.cells.resting","0.0224278086090928","0.536889938766796"
"241","LUSC","Mast.cells.activated","-0.029088210723357","0.442211153876268"
"242","LUSC","Eosinophils","0.0176102496614823","0.672847708746745"
"243","LUSC","Neutrophils","0.0347540641975771","0.34556511823035"
"244","PRAD","B.cells.naive","-0.0648217501299429","0.207337901111325"
"245","PRAD","B.cells.memory","0.123153782621443","0.0311581987893444"
"246","PRAD","Plasma.cells","-0.101879573160805","0.0467093559679523"
"247","PRAD","T.cells.CD8","0.0521575480575346","0.308333343846782"
"248","PRAD","T.cells.CD4.naive","0.0872061048979145","0.161899433202794"
"249","PRAD","T.cells.CD4.memory.resting","-0.0389204451949898","0.447189976895263"
"250","PRAD","T.cells.CD4.memory.activated","-0.0625120151826128","0.316729080411294"
"251","PRAD","T.cells.follicular.helper","0.0445669346533303","0.384091221490374"
"252","PRAD","T.cells.regulatory..Tregs.","0.0128575866559694","0.81332157851093"
"253","PRAD","T.cells.gamma.delta","0.0821665207131502","0.186910191868679"
"254","PRAD","NK.cells.resting","0.00794882395118929","0.895439059726581"
"255","PRAD","NK.cells.activated","0.0135935496765498","0.790851772207722"
"256","PRAD","Monocytes","-0.00215126054795304","0.966491037882049"
"257","PRAD","Macrophages.M0","0.0866652723000463","0.104054896093184"
"258","PRAD","Macrophages.M1","-0.00564705893837674","0.912191105765185"
"259","PRAD","Macrophages.M2","-0.0356230676166151","0.486567270439729"
"260","PRAD","Dendritic.cells.resting","0.0522735947375017","0.32742836281451"
"261","PRAD","Dendritic.cells.activated","0.0458414669656553","0.421787070920123"
"262","PRAD","Mast.cells.resting","0.0106433405448128","0.835651473460149"
"263","PRAD","Mast.cells.activated","-0.00285815369229166","0.96158803742409"
"264","PRAD","Eosinophils","0.0742959412483021","0.230715866268092"
"265","PRAD","Neutrophils","-0.0196501309486907","0.750557485501515"
"266","READ","B.cells.naive","-0.184606923369304","0.0520998833987691"
"267","READ","B.cells.memory","0.0650299550305696","0.536234595667115"
"268","READ","Plasma.cells","0.0544860476069216","0.565044618742035"
"269","READ","T.cells.CD8","0.0595065312046444","0.529350607939715"
"270","READ","T.cells.CD4.naive","0.129740407877989","0.245341488543805"
"271","READ","T.cells.CD4.memory.resting","-0.0323557752298635","0.735040552717506"
"272","READ","T.cells.CD4.memory.activated","0.0656683117148614","0.522934561492463"
"273","READ","T.cells.follicular.helper","-0.163458142820765","0.0843304420964768"
"274","READ","T.cells.regulatory..Tregs.","0.0475333938842529","0.617605200678282"
"275","READ","T.cells.gamma.delta","0.00747142971044049","0.947877781278253"
"276","READ","NK.cells.resting","0.133999411553772","0.17757984399105"
"277","READ","NK.cells.activated","-0.165528684860542","0.0958173967571214"
"278","READ","Monocytes","-0.0623436701909566","0.525771919284957"
